"행정구역","2017년01월_남자인구수","2017년01월_여자인구수","2017년01월_계","2017년02월_남자인구수","2017년02월_여자인구수","2017년02월_계","2017년03월_남자인구수","2017년03월_여자인구수","2017년03월_계","2017년04월_남자인구수","2017년04월_여자인구수","2017년04월_계","2017년05월_남자인구수","2017년05월_여자인구수","2017년05월_계","2017년06월_남자인구수","2017년06월_여자인구수","2017년06월_계","2017년07월_남자인구수","2017년07월_여자인구수","2017년07월_계","2017년08월_남자인구수","2017년08월_여자인구수","2017년08월_계","2017년09월_남자인구수","2017년09월_여자인구수","2017년09월_계","2017년10월_남자인구수","2017년10월_여자인구수","2017년10월_계","2017년11월_남자인구수","2017년11월_여자인구수","2017년11월_계","2017년12월_남자인구수","2017년12월_여자인구수","2017년12월_계"
"전국  (1000000000)","15,874","14,988","30,862","16,455","15,786","32,241","17,469","16,367","33,836","15,039","14,203","29,242","17,128","16,046","33,174","15,469","14,442","29,911","14,909","13,934","28,843","16,071","15,220","31,291","15,451","14,638","30,089","14,477","13,738","28,215","14,837","13,711","28,548","13,758","12,857","26,615"
"서울특별시  (1100000000)","2,908","2,617","5,525","3,026","2,895","5,921","3,229","3,054","6,283","2,712","2,670","5,382","3,073","2,968","6,041","2,848","2,666","5,514","2,650","2,568","5,218","2,879","2,730","5,609","2,825","2,728","5,553","2,617","2,483","5,100","2,622","2,527","5,149","2,582","2,405","4,987"
"부산광역시  (2600000000)","937","940","1,877","944","940","1,884","1,072","995","2,067","898","866","1,764","1,059","933","1,992","957","855","1,812","912","818","1,730","925","913","1,838","895","882","1,777","871","815","1,686","888","876","1,764","855","750","1,605"
"대구광역시  (2700000000)","719","672","1,391","759","705","1,464","776","719","1,495","662","662","1,324","794","714","1,508","707","710","1,417","628","614","1,242","715","659","1,374","672","594","1,266","649","586","1,235","685","593","1,278","618","573","1,191"
"인천광역시  (2800000000)","943","865","1,808","887","911","1,798","1,002","959","1,961","871","801","1,672","984","891","1,875","854","802","1,656","873","831","1,704","939","921","1,860","883","838","1,721","932","814","1,746","838","729","1,567","751","685","1,436"
"광주광역시  (2900000000)","487","401","888","473","444","917","540","495","1,035","433","402","835","477","426","903","451","420","871","442","399","841","423","387","810","432","370","802","406","419","825","419","382","801","363","390","753"
"대전광역시  (3000000000)","453","445","898","523","492","1,015","562","536","1,098","429","447","876","490","521","1,011","446","453","899","494","405","899","535","464","999","476","411","887","460","386","846","409","385","794","414","370","784"
"울산광역시  (3100000000)","451","412","863","413","402","815","456","415","871","397","398","795","433","439","872","407","357","764","378","334","712","441","372","813","439","369","808","398","375","773","415","360","775","350","351","701"
"세종특별자치시  (3600000000)","145","130","275","151","164","315","140","146","286","127","129","256","166","155","321","147","131","278","154","127","281","148","156","304","162","168","330","151","150","301","149","144","293","115","147","262"
"경기도  (4100000000)","4,099","4,036","8,135","4,337","4,064","8,401","4,529","4,326","8,855","3,966","3,664","7,630","4,562","4,210","8,772","4,083","3,750","7,833","3,950","3,694","7,644","4,253","3,960","8,213","4,098","3,875","7,973","3,735","3,651","7,386","3,961","3,661","7,622","3,656","3,427","7,083"
"강원도  (4200000000)","393","381","774","438","386","824","401","365","766","382","333","715","419","414","833","391","368","759","374","348","722","429","401","830","378","394","772","369","365","734","394","362","756","340","302","642"
"충청북도  (4300000000)","433","467","900","557","483","1,040","576","480","1,056","490","443","933","552","522","1,074","506","458","964","475","423","898","504","572","1,076","485","489","974","442","421","863","434","409","843","442","461","903"
"충청남도  (4400000000)","706","637","1,343","686","723","1,409","785","724","1,509","677","643","1,320","709","686","1,395","675","579","1,254","659","633","1,292","724","703","1,427","656","647","1,303","639","556","1,195","636","597","1,233","572","555","1,127"
"전라북도  (4500000000)","500","461","961","542","537","1,079","570","486","1,056","460","423","883","539","517","1,056","492","488","980","457","458","915","485","504","989","470","485","955","443","442","885","439","439","878","456","399","855"
"전라남도  (4600000000)","584","514","1,098","642","551","1,193","585","562","1,147","517","483","1,000","583","540","1,123","496","495","991","552","494","1,046","529","474","1,003","546","501","1,047","489","458","947","538","464","1,002","491","444","935"
"경상북도  (4700000000)","817","795","1,612","819","791","1,610","833","865","1,698","705","698","1,403","929","814","1,743","770","727","1,497","745","688","1,433","820","740","1,560","772","751","1,523","718","670","1,388","799","665","1,464","664","616","1,280"
"경상남도  (4800000000)","1,090","996","2,086","1,031","1,089","2,120","1,167","1,032","2,199","1,096","940","2,036","1,142","1,083","2,225","1,020","972","1,992","966","919","1,885","1,102","1,047","2,149","1,021","951","1,972","929","932","1,861","985","919","1,904","914","795","1,709"
"제주특별자치도  (5000000000)","209","219","428","227","209","436","246","208","454","217","201","418","217","213","430","219","211","430","200","181","381","220","217","437","241","185","426","229","215","444","226","199","425","175","187","362"
