"행정구역","2021년01월_남자인구수","2021년01월_여자인구수","2021년01월_계","2021년02월_남자인구수","2021년02월_여자인구수","2021년02월_계","2021년03월_남자인구수","2021년03월_여자인구수","2021년03월_계","2021년04월_남자인구수","2021년04월_여자인구수","2021년04월_계","2021년05월_남자인구수","2021년05월_여자인구수","2021년05월_계","2021년06월_남자인구수","2021년06월_여자인구수","2021년06월_계","2021년07월_남자인구수","2021년07월_여자인구수","2021년07월_계","2021년08월_남자인구수","2021년08월_여자인구수","2021년08월_계","2021년09월_남자인구수","2021년09월_여자인구수","2021년09월_계","2021년10월_남자인구수","2021년10월_여자인구수","2021년10월_계","2021년11월_남자인구수","2021년11월_여자인구수","2021년11월_계","2021년12월_남자인구수","2021년12월_여자인구수","2021년12월_계"
"전국  (1000000000)","11,229","10,653","21,882","11,003","10,404","21,407","12,758","12,052","24,810","11,800","11,310","23,110","11,219","10,688","21,907","11,360","10,652","22,012","11,597","11,177","22,774","11,728","11,128","22,856","11,111","10,625","21,736","10,844","10,343","21,187","10,457","9,948","20,405","9,710","9,331","19,041"
"서울특별시  (1100000000)","1,933","1,835","3,768","1,886","1,833","3,719","2,204","2,153","4,357","2,023","1,950","3,973","2,027","1,935","3,962","2,142","1,871","4,013","2,046","1,896","3,942","1,976","1,865","3,841","1,892","1,833","3,725","1,898","1,763","3,661","1,891","1,699","3,590","1,770","1,678","3,448"
"부산광역시  (2600000000)","544","540","1,084","622","570","1,192","719","640","1,359","634","624","1,258","634","631","1,265","631","602","1,233","690","621","1,311","669","651","1,320","626","591","1,217","607","605","1,212","600","555","1,155","486","453","939"
"대구광역시  (2700000000)","428","406","834","471","407","878","526","457","983","455","442","897","486","441","927","473","461","934","460","463","923","517","439","956","481","449","930","456","438","894","414","387","801","411","353","764"
"인천광역시  (2800000000)","677","645","1,322","639","569","1,208","728","680","1,408","650","599","1,249","666","598","1,264","626","615","1,241","645","622","1,267","632","668","1,300","643","619","1,262","655","658","1,313","599","560","1,159","573","556","1,129"
"광주광역시  (2900000000)","346","338","684","319","308","627","384","359","743","364","326","690","343","335","678","346","311","657","349","369","718","346","356","702","362","334","696","305","318","623","321","320","641","307","274","581"
"대전광역시  (3000000000)","316","269","585","289","289","578","362","348","710","350","331","681","331","301","632","362","316","678","324","309","633","328","303","631","305","283","588","329","272","601","297","273","570","300","277","577"
"울산광역시  (3100000000)","279","234","513","255","232","487","296","262","558","275","281","556","269","266","535","260","259","519","287","259","546","271","245","516","272","262","534","257","224","481","250","240","490","227","207","434"
"세종특별자치시  (3600000000)","138","137","275","177","135","312","182","189","371","145","174","319","161","130","291","143","139","282","155","161","316","139","150","289","145","157","302","162","154","316","148","129","277","116","126","242"
"경기도  (4100000000)","3,304","3,164","6,468","3,251","3,011","6,262","3,672","3,522","7,194","3,675","3,387","7,062","3,137","2,951","6,088","3,226","3,151","6,377","3,317","3,326","6,643","3,476","3,276","6,752","3,238","3,063","6,301","3,116","3,079","6,195","3,051","2,964","6,015","2,804","2,785","5,589"
"강원도  (4200000000)","315","334","649","309","297","606","352","347","699","301","325","626","302","283","585","303","269","572","343","305","648","380","324","704","273","303","576","317","287","604","310","302","612","264","272","536"
"충청북도  (4300000000)","383","309","692","335","343","678","373","385","758","372","359","731","365","373","738","341","347","688","337","341","678","380","353","733","361","315","676","330","333","663","313","328","641","316","338","654"
"충청남도  (4400000000)","452","441","893","488","423","911","594","508","1,102","498","490","988","475","432","907","466","426","892","535","466","1,001","477","485","962","472","482","954","445","400","845","434","408","842","401","374","775"
"전라북도  (4500000000)","352","308","660","287","340","627","368","344","712","311","330","641","325","298","623","325","320","645","333","340","673","349","288","637","322","283","605","323","276","599","285","287","572","291","274","565"
"전라남도  (4600000000)","403","399","802","347","368","715","417","383","800","348","323","671","369","393","762","353","328","681","390","356","746","345","401","746","381","340","721","321","354","675","303","325","628","325","295","620"
"경상북도  (4700000000)","510","479","989","501","510","1,011","594","556","1,150","520","559","1,079","504","533","1,037","521","468","989","510","533","1,043","575","512","1,087","537","494","1,031","463","464","927","480","456","936","456","423","879"
"경상남도  (4800000000)","657","666","1,323","667","622","1,289","787","719","1,506","708","633","1,341","666","647","1,313","670","606","1,276","710","662","1,372","722","664","1,386","657","656","1,313","682","581","1,263","618","569","1,187","538","522","1,060"
"제주특별자치도  (5000000000)","192","149","341","160","147","307","200","200","400","171","177","348","159","141","300","172","163","335","166","148","314","146","148","294","144","161","305","178","137","315","143","146","289","125","124","249"
