"행정구역","2016년01월_남자인구수","2016년01월_여자인구수","2016년01월_계","2016년02월_남자인구수","2016년02월_여자인구수","2016년02월_계","2016년03월_남자인구수","2016년03월_여자인구수","2016년03월_계","2016년04월_남자인구수","2016년04월_여자인구수","2016년04월_계","2016년05월_남자인구수","2016년05월_여자인구수","2016년05월_계","2016년06월_남자인구수","2016년06월_여자인구수","2016년06월_계","2016년07월_남자인구수","2016년07월_여자인구수","2016년07월_계","2016년08월_남자인구수","2016년08월_여자인구수","2016년08월_계","2016년09월_남자인구수","2016년09월_여자인구수","2016년09월_계","2016년10월_남자인구수","2016년10월_여자인구수","2016년10월_계","2016년11월_남자인구수","2016년11월_여자인구수","2016년11월_계","2016년12월_남자인구수","2016년12월_여자인구수","2016년12월_계"
"전국  (1000000000)","17,194","16,348","33,542","18,821","18,012","36,833","19,661","18,657","38,318","17,930","17,273","35,203","18,685","17,936","36,621","17,118","16,265","33,383","16,527","15,632","32,159","18,674","17,776","36,450","17,582","16,836","34,418","16,753","15,878","32,631","16,200","15,665","31,865","15,651","14,785","30,436"
"서울특별시  (1100000000)","3,097","3,043","6,140","3,591","3,349","6,940","3,648","3,457","7,105","3,355","3,209","6,564","3,523","3,362","6,885","3,162","3,104","6,266","3,217","3,044","6,261","3,449","3,215","6,664","3,202","3,134","6,336","3,102","2,946","6,048","3,010","2,832","5,842","2,912","2,755","5,667"
"부산광역시  (2600000000)","1,076","977","2,053","1,164","1,176","2,340","1,255","1,151","2,406","1,111","1,084","2,195","1,089","1,041","2,130","1,085","983","2,068","981","891","1,872","1,127","1,115","2,242","1,085","1,009","2,094","1,002","1,022","2,024","997","1,021","2,018","953","900","1,853"
"대구광역시  (2700000000)","750","757","1,507","815","835","1,650","869","820","1,689","815","763","1,578","840","846","1,686","767","756","1,523","719","665","1,384","866","816","1,682","809","743","1,552","751","728","1,479","722","705","1,427","677","677","1,354"
"인천광역시  (2800000000)","960","958","1,918","1,107","1,060","2,167","1,130","1,055","2,185","1,018","1,032","2,050","1,086","1,118","2,204","954","865","1,819","1,046","884","1,930","1,053","1,047","2,100","993","1,003","1,996","970","929","1,899","932","951","1,883","856","858","1,714"
"광주광역시  (2900000000)","526","511","1,037","518","539","1,057","577","517","1,094","504","481","985","533","542","1,075","454","461","915","442","432","874","512","505","1,017","492","468","960","463","456","919","479","438","917","449","441","890"
"대전광역시  (3000000000)","511","460","971","551","524","1,075","599","595","1,194","582","519","1,101","554","487","1,041","555","507","1,062","534","476","1,010","571","536","1,107","560","537","1,097","528","522","1,050","474","473","947","451","471","922"
"울산광역시  (3100000000)","463","412","875","491","478","969","512","482","994","484","441","925","553","504","1,057","448","429","877","406","404","810","485","451","936","491","465","956","479","479","958","454","414","868","405","400","805"
"세종특별자치시  (3600000000)","133","120","253","155","124","279","158","140","298","141","136","277","135","152","287","139","123","262","140","131","271","159","136","295","125","151","276","158","146","304","112","132","244","136","145","281"
"경기도  (4100000000)","4,522","4,263","8,785","4,898","4,561","9,459","5,030","4,868","9,898","4,640","4,404","9,044","4,842","4,713","9,555","4,481","4,235","8,716","4,253","4,200","8,453","4,909","4,740","9,649","4,691","4,373","9,064","4,315","4,053","8,368","4,298","4,050","8,348","4,077","3,889","7,966"
"강원도  (4200000000)","441","402","843","448","429","877","504","460","964","424","463","887","410","422","832","420","415","835","406","356","762","494","437","931","462","415","877","396","407","803","408","399","807","420","370","790"
"충청북도  (4300000000)","590","488","1,078","549","599","1,148","629","608","1,237","502","559","1,061","558","553","1,111","561","471","1,032","506","480","986","653","565","1,218","562","514","1,076","505","465","970","537","503","1,040","524","425","949"
"충청남도  (4400000000)","728","691","1,419","811","810","1,621","842","809","1,651","747","729","1,476","825","730","1,555","704","707","1,411","705","672","1,377","747","781","1,528","707","712","1,419","726","669","1,395","664","659","1,323","670","642","1,312"
"전라북도  (4500000000)","562","574","1,136","629","551","1,180","625","598","1,223","562","571","1,133","613","550","1,163","552","513","1,065","508","497","1,005","554","539","1,093","515","526","1,041","549","474","1,023","471","443","914","482","455","937"
"전라남도  (4600000000)","622","590","1,212","649","649","1,298","685","694","1,379","643","585","1,228","619","565","1,184","564","582","1,146","517","538","1,055","671","602","1,273","586","565","1,151","550","557","1,107","561","553","1,114","540","480","1,020"
"경상북도  (4700000000)","871","802","1,673","936","851","1,787","1,044","924","1,968","921","895","1,816","988","902","1,890","905","811","1,716","841","789","1,630","924","868","1,792","882","878","1,760","848","797","1,645","820","822","1,642","802","708","1,510"
"경상남도  (4800000000)","1,132","1,083","2,215","1,259","1,224","2,483","1,284","1,231","2,515","1,204","1,181","2,385","1,268","1,213","2,481","1,148","1,087","2,235","1,090","974","2,064","1,222","1,182","2,404","1,205","1,130","2,335","1,171","1,018","2,189","1,037","1,052","2,089","1,071","982","2,053"
"제주특별자치도  (5000000000)","210","217","427","250","253","503","270","248","518","277","221","498","249","236","485","219","216","435","216","199","415","278","241","519","215","213","428","240","210","450","224","218","442","226","187","413"
