"행정구역","2014년01월_남자인구수","2014년01월_여자인구수","2014년01월_계","2014년02월_남자인구수","2014년02월_여자인구수","2014년02월_계","2014년03월_남자인구수","2014년03월_여자인구수","2014년03월_계","2014년04월_남자인구수","2014년04월_여자인구수","2014년04월_계","2014년05월_남자인구수","2014년05월_여자인구수","2014년05월_계","2014년06월_남자인구수","2014년06월_여자인구수","2014년06월_계","2014년07월_남자인구수","2014년07월_여자인구수","2014년07월_계","2014년08월_남자인구수","2014년08월_여자인구수","2014년08월_계","2014년09월_남자인구수","2014년09월_여자인구수","2014년09월_계","2014년10월_남자인구수","2014년10월_여자인구수","2014년10월_계","2014년11월_남자인구수","2014년11월_여자인구수","2014년11월_계","2014년12월_남자인구수","2014년12월_여자인구수","2014년12월_계"
"전국  (1000000000)","18,190","17,424","35,614","19,782","18,737","38,519","19,358","18,507","37,865","19,316","18,252","37,568","19,004","17,806","36,810","17,924","16,978","34,902","18,830","17,731","36,561","18,101","16,967","35,068","19,670","18,927","38,597","19,660","18,972","38,632","16,346","15,688","32,034","18,986","18,042","37,028"
"서울특별시  (1100000000)","3,470","3,338","6,808","3,848","3,525","7,373","3,605","3,526","7,131","3,756","3,459","7,215","3,650","3,333","6,983","3,405","3,273","6,678","3,648","3,467","7,115","3,436","3,225","6,661","3,829","3,708","7,537","3,796","3,649","7,445","3,107","3,104","6,211","3,575","3,491","7,066"
"부산광역시  (2600000000)","1,123","1,013","2,136","1,117","1,139","2,256","1,203","993","2,196","1,188","1,048","2,236","1,164","1,073","2,237","1,086","986","2,072","1,131","1,083","2,214","1,087","1,095","2,182","1,202","1,207","2,409","1,145","1,136","2,281","1,007","912","1,919","1,175","1,099","2,274"
"대구광역시  (2700000000)","774","768","1,542","879","828","1,707","890","807","1,697","822","809","1,631","835","801","1,636","845","789","1,634","834","774","1,608","790","733","1,523","857","854","1,711","891","844","1,735","761","699","1,460","808","817","1,625"
"인천광역시  (2800000000)","1,055","974","2,029","1,197","1,089","2,286","1,171","1,089","2,260","1,175","1,094","2,269","1,124","1,050","2,174","1,069","961","2,030","1,086","1,065","2,151","1,084","979","2,063","1,157","1,154","2,311","1,186","1,088","2,274","1,009","956","1,965","1,147","1,156","2,303"
"광주광역시  (2900000000)","560","539","1,099","559","526","1,085","587","571","1,158","570","530","1,100","546","496","1,042","523","493","1,016","530","510","1,040","487","488","975","592","574","1,166","587","569","1,156","460","434","894","563","499","1,062"
"대전광역시  (3000000000)","583","575","1,158","666","593","1,259","610","572","1,182","637","594","1,231","624","592","1,216","565","540","1,105","580","561","1,141","595","539","1,134","633","565","1,198","656","549","1,205","522","511","1,033","637","555","1,192"
"울산광역시  (3100000000)","511","430","941","514","501","1,015","511","501","1,012","495","520","1,015","515","491","1,006","476","457","933","457","411","868","477","480","957","535","465","1,000","492","512","1,004","440","428","868","516","467","983"
"세종특별자치시  (3600000000)","47","44","91","47","51","98","52","52","104","54","44","98","47","59","106","49","57","106","41","56","97","70","50","120","67","66","133","74","62","136","69","60","129","75","50","125"
"경기도  (4100000000)","4,578","4,430","9,008","4,989","4,848","9,837","4,933","4,755","9,688","4,966","4,813","9,779","4,898","4,709","9,607","4,613","4,469","9,082","4,845","4,592","9,437","4,651","4,450","9,101","5,000","4,822","9,822","5,165","5,006","10,171","4,219","4,003","8,222","4,919","4,724","9,643"
"강원도  (4200000000)","464","445","909","472","457","929","446","453","899","502","434","936","443","415","858","444","416","860","497","473","970","439","381","820","463","481","944","454","482","936","427","383","810","457","447","904"
"충청북도  (4300000000)","574","560","1,134","616","621","1,237","591","607","1,198","573","560","1,133","574","535","1,109","578","521","1,099","574","588","1,162","564","550","1,114","600","569","1,169","570","587","1,157","489","470","959","574","517","1,091"
"충청남도  (4400000000)","788","729","1,517","875","800","1,675","865","738","1,603","792","716","1,508","775","782","1,557","748","703","1,451","824","770","1,594","752","756","1,508","817","804","1,621","764","731","1,495","617","661","1,278","799","764","1,563"
"전라북도  (4500000000)","660","630","1,290","640","592","1,232","644","641","1,285","596","603","1,199","590","550","1,140","571","530","1,101","644","549","1,193","595","530","1,125","653","642","1,295","646","630","1,276","532","495","1,027","600","577","1,177"
"전라남도  (4600000000)","627","604","1,231","723","662","1,385","639","658","1,297","601","627","1,228","619","603","1,222","608","587","1,195","650","625","1,275","648","559","1,207","664","612","1,276","604","641","1,245","562","533","1,095","638","625","1,263"
"경상북도  (4700000000)","946","897","1,843","1,020","952","1,972","1,012","1,003","2,015","1,016","887","1,903","988","918","1,906","877","843","1,720","936","879","1,815","938","826","1,764","959","905","1,864","1,011","901","1,912","824","756","1,580","1,007","907","1,914"
"경상남도  (4800000000)","1,188","1,207","2,395","1,372","1,300","2,672","1,362","1,319","2,681","1,334","1,259","2,593","1,351","1,211","2,562","1,219","1,151","2,370","1,342","1,114","2,456","1,242","1,094","2,336","1,400","1,252","2,652","1,352","1,358","2,710","1,095","1,063","2,158","1,293","1,142","2,435"
"제주특별자치도  (5000000000)","242","241","483","248","253","501","237","222","459","239","255","494","261","188","449","248","202","450","211","214","425","246","232","478","242","247","489","267","227","494","206","220","426","203","205","408"
