"행정구역","2019년01월_남자인구수","2019년01월_여자인구수","2019년01월_계","2019년02월_남자인구수","2019년02월_여자인구수","2019년02월_계","2019년03월_남자인구수","2019년03월_여자인구수","2019년03월_계","2019년04월_남자인구수","2019년04월_여자인구수","2019년04월_계","2019년05월_남자인구수","2019년05월_여자인구수","2019년05월_계","2019년06월_남자인구수","2019년06월_여자인구수","2019년06월_계","2019년07월_남자인구수","2019년07월_여자인구수","2019년07월_계","2019년08월_남자인구수","2019년08월_여자인구수","2019년08월_계","2019년09월_남자인구수","2019년09월_여자인구수","2019년09월_계","2019년10월_남자인구수","2019년10월_여자인구수","2019년10월_계","2019년11월_남자인구수","2019년11월_여자인구수","2019년11월_계","2019년12월_남자인구수","2019년12월_여자인구수","2019년12월_계"
"전국  (1000000000)","14,506","13,649","28,155","13,262","12,677","25,939","13,517","13,008","26,525","14,101","13,255","27,356","14,068","13,139","27,207","11,824","11,129","22,953","13,772","13,126","26,898","12,749","12,068","24,817","12,489","11,616","24,105","13,303","13,000","26,303","12,355","11,830","24,185","12,422","11,832","24,254"
"서울특별시  (1100000000)","2,514","2,357","4,871","2,353","2,212","4,565","2,417","2,238","4,655","2,536","2,340","4,876","2,533","2,347","4,880","2,133","1,991","4,124","2,528","2,346","4,874","2,218","2,138","4,356","2,313","2,046","4,359","2,380","2,296","4,676","2,204","2,094","4,298","2,208","2,040","4,248"
"부산광역시  (2600000000)","770","795","1,565","703","679","1,382","791","757","1,548","807","771","1,578","770","728","1,498","662","655","1,317","759","752","1,511","735","704","1,439","684","658","1,342","718","710","1,428","701","659","1,360","756","658","1,414"
"대구광역시  (2700000000)","643","545","1,188","571","532","1,103","619","586","1,205","612","575","1,187","591","559","1,150","511","489","1,000","581","540","1,121","611","473","1,084","535","516","1,051","602","557","1,159","566","520","1,086","593","538","1,131"
"인천광역시  (2800000000)","908","858","1,766","830","777","1,607","858","808","1,666","870","784","1,654","885","807","1,692","777","627","1,404","832","786","1,618","755","747","1,502","758","733","1,491","822","789","1,611","758","664","1,422","754","715","1,469"
"광주광역시  (2900000000)","365","364","729","339","340","679","374","354","728","371","348","719","384","374","758","294","340","634","388","392","780","355","350","705","336","334","670","371","345","716","351","342","693","321","329","650"
"대전광역시  (3000000000)","413","388","801","387","349","736","391","385","776","382","385","767","399","373","772","340","312","652","360","376","736","334","350","684","351","338","689","351","351","702","325","345","670","335","318","653"
"울산광역시  (3100000000)","376","324","700","308","314","622","318","311","629","361","352","713","355","314","669","284","282","566","335","320","655","316","300","616","297","270","567","356","332","688","294","294","588","295","329","624"
"세종특별자치시  (3600000000)","177","178","355","150","174","324","172","205","377","162","179","341","186","166","352","153","137","290","156","150","306","161","158","319","127","131","258","169","149","318","164","179","343","178","134","312"
"경기도  (4100000000)","4,004","3,790","7,794","3,676","3,511","7,187","3,668","3,478","7,146","3,849","3,611","7,460","3,857","3,584","7,441","3,238","3,046","6,284","3,865","3,667","7,532","3,524","3,283","6,807","3,519","3,236","6,755","3,763","3,654","7,417","3,387","3,279","6,666","3,357","3,371","6,728"
"강원도  (4200000000)","424","372","796","378","332","710","343","347","690","407","355","762","352","372","724","331","306","637","365","343","708","335","365","700","328","319","647","382","325","707","332","322","654","363","355","718"
"충청북도  (4300000000)","447","431","878","407","370","777","431","407","838","426","421","847","441","406","847","329","362","691","465","373","838","425","364","789","355","343","698","407","392","799","387","324","711","355","294","649"
"충청남도  (4400000000)","619","612","1,231","643","572","1,215","566","594","1,160","615","620","1,235","583","570","1,153","524","477","1,001","601","598","1,199","574","545","1,119","548","470","1,018","543","523","1,066","548","495","1,043","534","493","1,027"
"전라북도  (4500000000)","413","384","797","355","377","732","388","374","762","423","375","798","448","428","876","339","358","697","402","377","779","360","352","712","404","361","765","370","379","749","377","343","720","346","345","691"
"전라남도  (4600000000)","553","515","1,068","442","460","902","467","479","946","523","443","966","494","477","971","437","400","837","460","487","947","462","426","888","448","426","874","425","508","933","433","408","841","479","401","880"
"경상북도  (4700000000)","734","636","1,370","657","637","1,294","657","637","1,294","680","650","1,330","647","637","1,284","609","503","1,112","673","637","1,310","598","588","1,186","527","542","1,069","605","632","1,237","572","615","1,187","588","529","1,117"
"경상남도  (4800000000)","924","896","1,820","876","866","1,742","846","865","1,711","860","822","1,682","908","824","1,732","721","696","1,417","792","797","1,589","814","731","1,545","795","718","1,513","867","869","1,736","783","758","1,541","769","773","1,542"
"제주특별자치도  (5000000000)","222","204","426","187","175","362","211","183","394","217","224","441","235","173","408","142","148","290","210","185","395","172","194","366","164","175","339","172","189","361","173","189","362","191","210","401"
