"행정구역","2020년01월_남자인구수","2020년01월_여자인구수","2020년01월_계","2020년02월_남자인구수","2020년02월_여자인구수","2020년02월_계","2020년03월_남자인구수","2020년03월_여자인구수","2020년03월_계","2020년04월_남자인구수","2020년04월_여자인구수","2020년04월_계","2020년05월_남자인구수","2020년05월_여자인구수","2020년05월_계","2020년06월_남자인구수","2020년06월_여자인구수","2020년06월_계","2020년07월_남자인구수","2020년07월_여자인구수","2020년07월_계","2020년08월_남자인구수","2020년08월_여자인구수","2020년08월_계","2020년09월_남자인구수","2020년09월_여자인구수","2020년09월_계","2020년10월_남자인구수","2020년10월_여자인구수","2020년10월_계","2020년11월_남자인구수","2020년11월_여자인구수","2020년11월_계","2020년12월_남자인구수","2020년12월_여자인구수","2020년12월_계"
"전국  (1000000000)","12,700","11,993","24,693","11,774","11,275","23,049","13,308","12,663","25,971","11,798","11,234","23,032","11,671","11,123","22,794","11,632","10,943","22,575","12,086","11,635","23,721","11,266","10,694","21,960","12,323","11,897","24,220","10,879","10,302","21,181","10,751","10,292","21,043","11,075","10,501","21,576"
"서울특별시  (1100000000)","2,236","2,062","4,298","2,045","1,981","4,026","2,272","2,095","4,367","2,031","1,896","3,927","2,074","1,981","4,055","2,003","1,972","3,975","2,088","1,958","4,046","2,018","1,902","3,920","2,159","2,118","4,277","1,950","1,753","3,703","1,867","1,760","3,627","1,976","1,858","3,834"
"부산광역시  (2600000000)","731","706","1,437","686","603","1,289","722","705","1,427","625","624","1,249","654","643","1,297","638","577","1,215","670","594","1,264","672","622","1,294","725","649","1,374","594","576","1,170","571","572","1,143","611","524","1,135"
"대구광역시  (2700000000)","521","494","1,015","516","479","995","551","559","1,110","443","487","930","509","441","950","468","473","941","530","485","1,015","518","445","963","489","465","954","432","415","847","427","405","832","398","401","799"
"인천광역시  (2800000000)","750","679","1,429","697","674","1,371","765","763","1,528","726","658","1,384","681","695","1,376","712","616","1,328","679","707","1,386","708","622","1,330","710","698","1,408","638","569","1,207","638","588","1,226","646","621","1,267"
"광주광역시  (2900000000)","342","347","689","297","288","585","346","363","709","307","308","615","294","296","590","289","300","589","296","313","609","325","312","637","336","301","637","312","269","581","290","293","583","285","301","586"
"대전광역시  (3000000000)","346","332","678","366","305","671","388","348","736","306","272","578","326","328","654","335","276","611","315","285","600","311","297","608","343","339","682","308","266","574","308","283","591","311","297","608"
"울산광역시  (3100000000)","303","330","633","264","278","542","342","305","647","293","282","575","286","269","555","261","274","535","256","272","528","279","303","582","269","304","573","278","244","522","242","257","499","269","251","520"
"세종특별자치시  (3600000000)","211","171","382","123","138","261","175","179","354","177","135","312","137","129","266","131","127","258","152","167","319","136","158","294","133","120","253","132","128","260","136","126","262","129","150","279"
"경기도  (4100000000)","3,486","3,349","6,835","3,261","3,207","6,468","3,738","3,594","7,332","3,349","3,179","6,528","3,191","3,199","6,390","3,453","3,082","6,535","3,647","3,529","7,176","2,967","2,770","5,737","3,540","3,505","7,045","3,074","3,024","6,098","3,173","2,972","6,145","3,232","3,066","6,298"
"강원도  (4200000000)","342","328","670","319","290","609","404","382","786","324","375","699","340","309","649","334","334","668","357","298","655","280","317","597","354","339","693","300","317","617","337","295","632","327","314","641"
"충청북도  (4300000000)","428","437","865","364","365","729","427","376","803","375","328","703","372","364","736","367","349","716","331","383","714","390","322","712","411","354","765","315","321","636","362","329","691","337","341","678"
"충청남도  (4400000000)","557","535","1,092","518","508","1,026","606","586","1,192","520","506","1,026","529","477","1,006","481","481","962","553","498","1,051","520","519","1,039","558","479","1,037","440","426","866","489","433","922","490","414","904"
"전라북도  (4500000000)","409","347","756","351","313","664","374","385","759","394","368","762","368","330","698","319","307","626","343","323","666","332","334","666","333","378","711","335","330","665","319","322","641","363","341","704"
"전라남도  (4600000000)","471","417","888","435","413","848","487","467","954","417","390","807","436","356","792","404","407","811","435","421","856","411","401","812","428","409","837","399","376","775","352","358","710","381","388","769"
"경상북도  (4700000000)","593","568","1,161","576","562","1,138","652","602","1,254","600","555","1,155","539","505","1,044","543","530","1,073","490","553","1,043","528","517","1,045","609","519","1,128","551","485","1,036","492","494","986","486","496","982"
"경상남도  (4800000000)","773","707","1,480","745","697","1,442","858","788","1,646","733","720","1,453","764","645","1,409","728","689","1,417","766","675","1,441","714","691","1,405","753","758","1,511","662","660","1,322","598","648","1,246","686","595","1,281"
"제주특별자치도  (5000000000)","201","184","385","211","174","385","201","166","367","178","151","329","171","156","327","166","149","315","178","174","352","157","162","319","173","162","335","159","143","302","150","157","307","148","143","291"
