"행정구역","2018년01월_남자인구수","2018년01월_여자인구수","2018년01월_계","2018년02월_남자인구수","2018년02월_여자인구수","2018년02월_계","2018년03월_남자인구수","2018년03월_여자인구수","2018년03월_계","2018년04월_남자인구수","2018년04월_여자인구수","2018년04월_계","2018년05월_남자인구수","2018년05월_여자인구수","2018년05월_계","2018년06월_남자인구수","2018년06월_여자인구수","2018년06월_계","2018년07월_남자인구수","2018년07월_여자인구수","2018년07월_계","2018년08월_남자인구수","2018년08월_여자인구수","2018년08월_계","2018년09월_남자인구수","2018년09월_여자인구수","2018년09월_계","2018년10월_남자인구수","2018년10월_여자인구수","2018년10월_계","2018년11월_남자인구수","2018년11월_여자인구수","2018년11월_계","2018년12월_남자인구수","2018년12월_여자인구수","2018년12월_계"
"전국  (1000000000)","15,657","14,958","30,615","14,038","13,556","27,594","15,461","14,729","30,190","14,724","13,927","28,651","15,112","14,519","29,631","13,654","12,776","26,430","14,162","13,714","27,876","14,711","13,857","28,568","12,700","11,865","24,565","14,924","14,205","29,129","13,414","12,691","26,105","12,704","12,057","24,761"
"서울특별시  (1100000000)","2,739","2,598","5,337","2,528","2,435","4,963","2,666","2,551","5,217","2,635","2,472","5,107","2,688","2,500","5,188","2,511","2,158","4,669","2,629","2,453","5,082","2,713","2,432","5,145","2,326","2,164","4,490","2,677","2,471","5,148","2,439","2,227","4,666","2,368","2,173","4,541"
"부산광역시  (2600000000)","921","888","1,809","865","767","1,632","936","861","1,797","887","821","1,708","932","865","1,797","873","749","1,622","787","869","1,656","814","835","1,649","706","673","1,379","873","795","1,668","789","739","1,528","730","717","1,447"
"대구광역시  (2700000000)","626","702","1,328","632","610","1,242","722","656","1,378","607","597","1,204","695","700","1,395","606","579","1,185","594","624","1,218","655","612","1,267","533","474","1,007","638","641","1,279","573","550","1,123","539","509","1,048"
"인천광역시  (2800000000)","939","824","1,763","883","822","1,705","947","855","1,802","864","848","1,712","894","836","1,730","801","784","1,585","867","843","1,710","837","879","1,716","782","771","1,553","938","857","1,795","868","816","1,684","796","844","1,640"
"광주광역시  (2900000000)","468","413","881","377","377","754","469","404","873","427","394","821","444","431","875","407","340","747","404","364","768","412","393","805","346","334","680","406","398","804","337","328","665","352","320","672"
"대전광역시  (3000000000)","452","469","921","400","360","760","428","428","856","418","419","837","451","424","875","409","395","804","409","421","830","388","394","782","343","316","659","394","389","783","412","377","789","352","324","676"
"울산광역시  (3100000000)","378","353","731","357","331","688","367","382","749","405","331","736","406","374","780","301","334","635","327","348","675","374","338","712","318","305","623","395","329","724","327","311","638","297","297","594"
"세종특별자치시  (3600000000)","182","162","344","138","161","299","178","150","328","154","166","320","159","156","315","148","141","289","165","164","329","175","161","336","142","92","234","166","173","339","179","156","335","179","146","325"
"경기도  (4100000000)","4,213","4,002","8,215","3,675","3,776","7,451","4,002","3,944","7,946","3,945","3,760","7,705","3,985","3,920","7,905","3,670","3,500","7,170","3,821","3,706","7,527","4,000","3,695","7,695","3,522","3,219","6,741","4,129","3,924","8,053","3,649","3,357","7,006","3,469","3,261","6,730"
"강원도  (4200000000)","416","412","828","358","368","726","383","388","771","385","354","739","373","357","730","325","337","662","343","320","663","413","332","745","332","337","669","374","360","734","320","342","662","274","291","565"
"충청북도  (4300000000)","523","485","1,008","459","414","873","538","497","1,035","443","460","903","474","472","946","439","404","843","469","451","920","515","449","964","394","384","778","463","457","920","397","423","820","437","396","833"
"충청남도  (4400000000)","713","719","1,432","636","567","1,203","741","675","1,416","646","596","1,242","662","652","1,314","540","573","1,113","627","585","1,212","606","645","1,251","559","533","1,092","644","638","1,282","585","563","1,148","510","511","1,021"
"전라북도  (4500000000)","466","474","940","434","441","875","476","467","943","464","437","901","439","425","864","420","382","802","437","418","855","420","420","840","402","385","787","473","432","905","377","395","772","397","359","756"
"전라남도  (4600000000)","557","493","1,050","484","452","936","546","537","1,083","529","492","1,021","526","507","1,033","441","442","883","471","452","923","470","468","938","405","409","814","520","510","1,030","436","432","868","435","398","833"
"경상북도  (4700000000)","796","768","1,564","679","636","1,315","799","703","1,502","749","693","1,442","744","733","1,477","702","630","1,332","698","635","1,333","742","672","1,414","594","569","1,163","720","674","1,394","650","642","1,292","654","559","1,213"
"경상남도  (4800000000)","1,067","951","2,018","909","860","1,769","1,045","1,011","2,056","951","903","1,854","1,027","975","2,002","861","843","1,704","890","865","1,755","982","936","1,918","794","718","1,512","898","948","1,846","892","830","1,722","732","757","1,489"
"제주특별자치도  (5000000000)","201","245","446","224","179","403","218","220","438","215","184","399","213","192","405","200","185","385","224","196","420","195","196","391","202","182","384","216","209","425","184","203","387","183","195","378"
